notation,prefLabel
38.54,Keskiasteen koulutus. Toisen asteen koulutus
38.541,Lukiot
38.542,Ammatillinen koulutus
38.55,Erityisopetus. Erityiskasvatus. Erityiskoulut
38.551,"Erityisopetus. Erityiskasvatus, luku-, kirjoitus- ja puhehäiriöiset"
38.552,"Erityisopetus. Erityiskasvatus, kuulovammaiset"
38.553,"Erityisopetus. Erityiskasvatus, näkövammaiset"
38.554,"Erityisopetus. Erityiskasvatus, liikuntavammaiset"
38.555,"Erityisopetus. Erityiskasvatus, kehitysvammaiset"
38.58,Erikois- ja kokeilukoulut
38.59,Erityislahjakkaiden opetus
38.6,Aikuiskoulutus. Vapaa sivistystyö
38.61,Kansanopistot. Kansankorkeakoulut
38.62,Kansalaisopistot. Työväenopistot
38.63,Kansansivistysjärjestöt
38.64,Itseopiskelu. Opintokerhotoiminta
38.7,Nuorisotyö. Lapsityö
38.71,Partioliike
38.8,Ammatinvalinta
39,MAANPUOLUSTUS
39.1,Aseistus. Asevarustelu. Asekauppa
39.2,Huolto
39.4,Maavoimat. Maasodankäynti
39.5,Merivoimat. Merisodankäynti
39.6,Ilmavoimat. Ilmasodankäynti
39.7,Sotilaskoulutus
4,MAANTIEDE. MATKAT. KANSATIEDE
40,MAANTIEDE
40.02,Maailmankartat ja -kartastot
40.1,Yleinen kulttuurimaantiede
40.7,Matkailu. Turismi
40.71,Yleiset matkaoppaat
40.8,Matkakuvaukset
41,EUROOPPA
42,SUOMI
42.1,Varsinais-Suomi
42.2,Ahvenanmaa
42.3,Uusimaa
42.31,Läntinen Uusimaa
42.33,Pääkaupunkiseutu
42.34,Itä-Uusimaa
42.4,Häme. Keski-Suomi
42.41,Kanta-Häme
42.42,Päijät-Häme
42.43,Pirkanmaa
42.45,Keski-Suomi
42.5,Satakunta
42.6,Savo
42.61,Etelä-Savo
42.62,Pohjois-Savo
42.7,Karjala
42.74,Etelä-Karjala
42.75,Kymenlaakso
42.76,Pohjois-Karjala
42.8,Pohjanmaa
42.81,Pohjanmaan maakunta
42.82,Pohjois-Pohjanmaa
42.83,Keski-Pohjanmaa
42.84,Etelä-Pohjanmaa
42.85,Kainuu
42.9,Lappi
43,POHJOISMAAT
43.1,Ruotsi
43.11,Tukholma
43.2,Norja
43.21,Oslo
43.3,Tanska
43.31,Kööpenhamina
43.32,Färsaaret
43.4,Islanti
43.5,Pohjoiskalotti
44,KESKI-EUROOPPA
44.1,Saksa
44.11,Berliini
44.3,Tšekki. Slovakia
44.31,Tšekki
44.32,Slovakia
44.4,Itävalta
44.5,Unkari
44.6,Sveitsi
44.7,Liechtenstein
44.8,Benelux-maat
44.81,Belgia
44.82,Alankomaat
44.83,Luxemburg
45,BRITTEIN SAARET
45.1,Iso-Britannia
45.11,Lontoo
45.15,Wales
45.16,Skotlanti
45.7,Irlanti
45.71,Irlannin tasavalta
45.72,Pohjois-Irlanti
46,ETELÄ-EUROOPPA
46.1,Ranska
46.11,Pariisi
46.19,Monaco
46.2,Italia
46.21,Rooma
46.22,Vatikaanivaltio
46.23,San Marino
46.3,Espanja
46.32,Andorra
46.4,Portugali
46.5,Malta
46.8,Balkanin maat
46.81,Bulgaria
46.82,Romania
46.83,Entisen Jugoslavian alue
46.831,Bosnia ja Hertsegovina
46.832,Kosovo
46.833,Kroatia
46.834,Makedonia (Entinen Jugoslavian tasavalta Makedonia)
46.835,Montenegro
46.836,Serbia
46.837,Slovenia
46.84,Albania
46.85,Kreikka
47,ITÄ-EUROOPPA
47.1,Venäjä
47.11,Moskova
47.12,Pietari
47.14,Karjalan Tasavalta
47.2,Baltian maat
47.21,Viro
47.22,Latvia
47.23,Liettua
47.3,Puola
47.4,Ukraina
47.5,Valko-Venäjä
47.6,Moldova
48,MUUT MAANOSAT
48.1,Aasia
48.11,Etu-Aasia
48.111,Turkki
48.112,Kypros
48.114,Israel. Palestiina
48.13,Etelä-Aasia
48.132,Intia
48.14,Kaakkois-Aasia
48.17,Armenia. Azerbaidzan. Georgia. Kazakstan. Kirgisia. Tadzikistan. Turkmenistan. Uzbekistan
48.18,Keski- ja Itä-Aasia
48.183,Kiina
48.184,Japani
48.2,Afrikka
48.21,Pohjois-Afrikka
48.25,Länsi-Afrikka
48.26,Keski-Afrikka
48.27,Itä-Afrikka
48.28,Etelä-Afrikka
48.29,Afrikan saaret
48.3,Amerikka
48.31,Pohjois-Amerikka
48.312,Yhdysvallat
48.3121,New York
48.313,Kanada
48.314,Meksiko
48.35,Väli-Amerikka
48.355,Keski-Amerikka
48.356,Karibianmeren alue
48.38,Etelä-Amerikka
48.381,Venezuela
48.382,Kolumbia
48.383,Peru
48.385,Chile
48.386,Argentiina
48.388,Brasilia
48.5,Australia ja Oseania
48.51,Australia
48.54,Uusi-Seelanti
48.56,Uusi-Guinea
48.57,Tyynenmeren saaret
48.575,Havaiji
48.6,Napamaat
48.61,Pohjoiset napamaat. Arktis
48.62,Eteläiset napamaat. Antarktis
49,KANSATIEDE. KULTTUURIANTROPOLOGIA
49.1,Euroopan kansojen kansatiede
49.2,Suomen ja suomalais-ugrilaisten kansojen kansatiede
49.22,"Suomen ja suomalais-ugrilaisten kansojen kansatiede, Rakennukset"
49.24,"Suomen ja suomalais-ugrilaisten kansojen kansatiede, Tekstiilit, kansanpuvut, korut"
49.25,"Suomen ja suomalais-ugrilaisten kansojen kansatiede, Elinkeinot. Työ. Työkalut"
49.26,"Suomen ja suomalais-ugrilaisten kansojen kansatiede, Kansantavat"
49.262,"Suomen ja suomalais-ugrilaisten kansojen kansatiede, Juhlaperinne, ruoka- ja juomaperinne"
49.5,Muiden kansojen kansatiede
49.51,Aasian kansojen kansatiede
49.52,Afrikan kansojen kansatiede
49.53,Amerikan kansojen kansatiede
49.55,"Australian, Oseanian ja napamaiden kansojen kansatiede"
5,LUONNONTIETEET. MATEMATIIKKA. LÄÄKETIEDE
50,LUONNONTIETEET
50.1,Ympäristönsuojelu. Luonnonsuojelu
50.11,Uhanalaiset lajit. Luonnonsuojelualueet
50.12,Ilmansuojelu
50.13,Vesiensuojelu
50.14,Maaperänsuojelu
50.19,Eläinsuojelu
51,MATEMATIIKKA
51.1,Lukuteoria. Aritmetiikka. Algebra
51.2,Geometria
51.3,Analyysi
51.4,Todennäköisyyslaskenta
51.5,Erityiset laskentamenetelmät
51.8,Matematiikka harrasteena ja ajanvietteenä
52,TÄHTITIEDE. GEODESIA
52.1,Teoreettinen tähtitiede. Taivaanmekaniikka
52.2,Maailmankaikkeus. Tähdet. Tähtijärjestelmät
52.21,Aurinkokunta
52.3,Tähtitieteelliset kojeet
52.4,Avaruustutkimus. Avaruuslennot
52.6,Geodesia. Maanmittaus. Kartoitus
52.8,Ajanlasku
53,FYSIIKKA
53.1,Yleinen ja teoreettinen fysiikka
53.11,Suhteellisuusteoria
53.12,Ydinfysiikka. Atomifysiikka. Molekyylifysiikka
53.13,Kvanttiteoria. Kvanttimekaniikka
53.3,Mekaniikka
53.4,Äänioppi. Mekaaniset värähtelyt
53.5,Lämpöoppi
53.6,Valo-oppi. Säteilyoppi
53.66,Värioppi
53.7,Sähköoppi. Magnetismi
53.8,Fysiikka harrasteena ja ajanvietteenä
54,KEMIA
54.1,Teoreettinen ja fysikaalinen kemia
54.2,Epäorgaaninen kemia
54.3,Orgaaninen kemia. Muovien kemia
54.4,Analyyttinen kemia
54.8,Kemia harrasteena ja ajanvietteenä
55,FYYSINEN MAANTIEDE. GEOLOGIA
55.2,Geologia. Geomorfologia
55.3,Mineralogia. Petrologia. Kristallografia
55.4,Paleontologia
55.5,Meteorologia. Klimatologia
55.6,Hydrologia
56,BIOLOGIA
56.1,Sytologia. Solubiologia
56.2,Biokemia. Biofysiikka. Molekyylibiologia
56.3,Yleinen mikrobiologia
56.4,Perinnöllisyystiede
56.41,Kehitysoppi. Evoluutio
56.411,Biologinen antropologia
56.8,Luonto-oppaat
56.9,Ekologia. Eliömaantiede
57,KASVITIEDE
57.1,Putkilokasvit
57.11,Puut. Pensaat
57.3,Levät. Jäkälät. Sienet. Sammalet
57.8,Kasvianatomia. Kasvifysiologia. Kasvimorfologia
57.9,Kasviekologia. Kasvimaantiede
58,ELÄINTIEDE
58.1,Selkärankaiset
58.11,Nisäkkäät
58.12,Linnut
58.13,Matelijat. Sammakkoeläimet
58.14,Kalat
58.2,Selkärangattomat
58.21,Hyönteiset
58.8,Eläinanatomia. Eläinfysiologia. Eläinmorfologia
58.9,Eläinten elintavat
59,LÄÄKETIEDE. TERVEYDENHOITO
59.1,Lääketieteellinen biologia
59.11,Ihmisen anatomia
59.12,Ihmisen fysiologia
59.13,Lääketieteellinen mikrobiologia. Immunologia
59.2,Yleinen terveydenhoito
59.21,Hoitotiede. Hoitotyö. Hoitohenkilökunta
59.22,Hoitolaitokset
59.221,Sairaalatekniikka
59.23,Tapaturmantorjunta. Ensiapu
59.24,Sosiaalilääketiede. Ympäristölääketiede
59.241,Työterveyshuolto. Opiskeluterveydenhuolto Kouluterveydenhoitajan työ
59.27,Oikeuslääketiede
59.28,Urheilulääketiede
59.3,Henkilökohtainen terveydenhoito
59.31,Kauneudenhoito. Ulkonäkö
59.32,Kylvyt. Sauna
