notation,prefLabel
371.4,Asuntopolitiikka
371.5,Perhepolitiikka. Lapsipolitiikka. Nuorisopolitiikka
371.51,Lastenneuvolat. Äitiysneuvolat
371.52,Päivähoito
371.6,Terveyspolitiikka
371.7,Päihdepolitiikka. Päihdehuolto
371.71,Alkoholipolitiikka
371.72,Huumausainepolitiikka
371.8,Kriminaalipolitiikka
371.9,Siirtolaisuus
372,Vakuutustoimi
372.1,Sosiaalivakuutus
373,Sosiaalipalvelut. Vanhusten huolto. Vammaisten huolto
374,Yhteiskunnalliset aatesuunnat. Poliittiset ideologiat
374.1,Sosialismi. Kommunismi
374.2,Konservatismi
374.3,Liberalismi
374.8,Fasismi
374.9,Muut aatesuunnat
375,Naisen ja miehen asema yhteiskunnassa
377,Järjestötoiminta. Kokoustekniikka
377.1,Työväenliike
377.2,Työmarkkinajärjestöt
377.4,Yksityinen avustus- ja huoltotyö
377.7,Nuorisoseuratoiminta
377.8,Partioliike
379,Käytös- ja tapatieto
379.1,Juhlien järjestäminen
380,LIIKENNE. JOUKKOVIESTINTÄ
384,Joukkoviestintä
384.1,Posti
384.4,Radio- ja televisiotoiminta
384.41,Radiotoiminta
384.42,Televisiotoiminta
384.7,Lehdistöoppi
385,Maaliikenne
386,Vesi- ja ilmaliikenne
386.1,Vesiliikenne
386.2,Ilmaliikenne. Ilmailu
387,Paikallisliikenne
387.11,Helsinki. Pääkaupunkiseutu
390,MAANPUOLUSTUS
391,Asevarustelu. Asekauppa
392,Sotataito. Strategia. Taktiikka
393,Aseteknologia
394,Sotien yhteiskunnalliset vaikutukset
395,Väestönsuojelu
397,Suomen puolustusvoimat
398,Muiden maiden puolustusvoimat
399,Sotahistoria
399.1,Suomi
4,ENGLANNINKIELINEN KAUNOKIRJALLISUUS (Kaunoluokka)
4.1,Englanninkieliset kansanrunot (Kaunoluokka)
4.2,Englanninkieliset runot (Kaunoluokka)
4.3,Englanninkieliset näytelmät ja kuunnelmat (Kaunoluokka)
4.4,"Englanninkieliset romaanit, novellit ja näytelmäelokuvat (Kaunoluokka)"
4.7,Englanninkieliset sadut (Kaunoluokka)
4.79,Englanninkieliset kuvakirjat (Kaunoluokka)
4.791,Englanninkieliset sarjakuvat ja animaatioelokuvat (Kaunoluokka)
400,MAANTIEDE
401,Filosofia. Teoria. Tutkimusmenetelmät
402,Oppikirjat. Harjoituskirjat. Tehtäväkokoelmat
403,Sanakirjat. Hakuteokset
404,Maailmankartat. Maailmankartastot
405,Kausijulkaisut
406,Yhdistykset. Laitokset. Kokoukset
407,Opinnot
408,Kokoomateokset
408.3,Tilastot. Taulukot
408.5,Museot. Arkistot. Kokoelmat. Näyttelyt
409,Yleinen aluemaantiede. Yleinen kulttuurimaantiede. Yleinen poliittinen maantiede
410,EUROOPPA
411,Pohjoismaat. Baltian maat
411.1,Ruotsi
411.11,Tukholma
411.2,Norja
411.21,Oslo
411.3,Islanti
411.4,Tanska
411.41,Kööpenhamina
411.42,Färsaaret
411.5,Baltian maat
411.51,Viro
411.52,Latvia
411.53,Liettua
412,Suomi
412.008,Suomenruotsalaisten asuma-alueet
412.1,Uusimaa
412.11,Helsinki. Pääkaupunkiseutu
412.2,Varsinais-Suomi. Satakunta
412.21,Turku
412.3,Ahvenanmaa
412.4,Häme. Pirkanmaa
412.41,Tampere
412.5,Kymenlaakso. Etelä-Karjala
412.51,Menetetty Karjalan alue
412.6,Etelä-Savo
412.7,Pohjois-Savo
412.79,Pohjois-Karjala
412.8,Etelä-Pohjanmaa. Keski-Pohjanmaa
412.89,Keski-Suomi
412.9,Pohjois-Pohjanmaa. Kainuu. Koillismaa
412.91,Lappi
413,Keski-Eurooppa
413.2,Benelux-maat
413.21,"Alankomaat, Hollanti"
413.22,Belgia
413.23,Luxemburg
413.4,Unkari
413.5,Puola
413.6,Entisen Tsekkoslovakian alue
413.61,Tsekki
413.62,Slovakia
413.7,Romania
413.8,Sveitsi
413.9,Itävalta
413.91,Wien
414,Saksa
414.1,Berliini
415,Ranska
415.1,Pariisi
417,Brittein saaret
417.1,Iso-Britannia
417.11,Lontoo
417.2,Irlanti
417.21,"Irlannin tasavalta, Eire"
417.22,Pohjois-Irlanti
418,Itsenäisten valtioiden yhteisö (IVY)
418.2,Venäjä
418.21,Moskova
418.22,Pietari
418.3,Ukraina
418.4,Valko-Venäjä
418.5,Moldova
419,Etelä-Eurooppa
419.1,Pyreneiden niemimaa
419.11,Espanja
419.12,Portugali
419.2,Italia
419.21,Rooma
419.3,Balkanin niemimaa
419.31,Kreikka
419.32,Entisen Jugoslavian alue
419.321,Slovenia
419.322,Kroatia
419.323,Bosnia ja Hertsegovina
419.324,Serbia
419.325,"Makedonia, EJTM"
419.326,Montenegro
419.327,Kosovo
419.33,Bulgaria
419.34,Albania
419.4,Malta
420,AASIA
421,Etu-Aasia
421.1,Turkki
421.2,Kypros
422,Israel. Palestiina
423,IVY:n Aasian puoleiset maat
424,Keski-Aasia
425,Korea
426,Kiina
427,Japani
428,Kaakkois-Aasia
429,Etelä-Aasia
430,AFRIKKA
431,Pohjois-Afrikka
432,Egypti. Sudan. Etelä-Sudan
434,Länsi-Afrikka
435,Keski-Afrikka
436,Itä-Afrikka
437,Djibouti. Eritrea. Etiopia. Somalia
438,Etelä-Afrikka
439,Afrikan saaret
440,AMERIKKA
441,Pohjois-Amerikka
442,Kanada
443,"Yhdysvallat, USA"
443.11,New York
444,Meksiko
445,Keski-Amerikka
446,Karibianmeren saaret
447,Etelä-Amerikka
448,Brasilia
449,Argentiina
450,AUSTRALIA. OSEANIA. NAPAMAAT
451,Australia. Uusi-Seelanti. Uusi-Guinea
453,Havaiji
456,Tyynen meren saaret
458,"Arktis, pohjoiset napamaat"
459,"Antarktis, eteläiset napamaat"
460,MATKAILU. MATKAT
461,Yleiset matkaoppaat
462,Matkakuvaukset
469,Löytöretket. Tutkimusmatkat
470,KANSATIEDE. ANTROPOLOGIA
471,Kotiseutututkimus
472,Esineellinen kulttuuri
473,Kansantavat. Kansanelämä
473.1,Juhlaperinne. Ruoka- ja juomaperinne
475,Suomalais-ugrilaiset kansat
475.1,Suomalaiset
476,Muiden kansojen kansatiede
476.1,Euroopan kansat
476.11,Pohjoisgermaaniset kansat
476.12,Lappalaiset. Saamelaiset
476.5,Aasian kansat
476.6,Afrikan kansat
476.7,Amerikan kansat
476.8,"Australian, Oseanian ja napamaiden kansat"
479,Antropologia
479.2,Biologinen antropologia
479.3,Kulttuuriantropologia. Sosiaaliantropologia
480,FYYSINEN MAANTIEDE
482,Kartografia
483,Geodesia. Maanmittaus. Paikannus. Geoinformatiikka
485,Hydrologia
487,Meteorologia. Klimatologia
490,GEOLOGIA
492,Geomorfologia. Geodynamiikka
493,Mineralogia. Kristallografia. Petrologia
495,Fennoskandian geologia
495.1,Suomen geologia
498,Historiallinen geologia
499,Paleontologia
5,RANSKANKIELINEN KAUNOKIRJALLISUUS (Kaunoluokka)
5.1,Ranskankieliset kansanrunot (Kaunoluokka)
5.2,Ranskankieliset runot (Kaunoluokka)
